TimeStamp,ECG Data,GSR Data
5807,501,561
5813,502,561
5820,503,560
5826,506,560
5833,511,560
5840,512,560
5847,512,560
5853,518,560
5860,527,560
5866,530,560
5873,531,560
5880,525,560
5886,515,560
5893,506,560
5900,497,560
5906,494,559
5912,493,559
5920,493,559
5926,495,559
5934,496,559
5939,497,559
5946,497,559
5953,496,559
5960,494,559
5966,495,559
5974,497,559
5980,496,559
5986,485,559
5993,466,559
6000,462,559
6006,505,559
6013,604,559
6020,671,559
6026,747,559
6033,746,559
6040,598,558
6046,494,558
6053,420,558
6061,414,558
6066,437,558
6073,463,558
6080,475,558
6086,472,558
6092,467,558
6100,471,558
6106,477,558
6113,483,558
6119,486,558
6126,491,558
6133,495,558
6140,499,558
6147,501,557
6153,504,557
6160,506,557
6166,510,557
6173,516,557
6180,516,557
6187,512,557
6193,514,557
6200,517,557
6206,520,557
6213,524,557
6220,528,557
6226,530,557
6234,533,557
6240,535,557
6246,536,557
6253,536,557
6260,533,557
6266,529,557
6273,523,557
6280,516,557
6286,509,557
6293,500,557
6299,495,557
6306,489,557
6313,484,556
6320,483,556
6326,481,556
6333,480,556
6340,480,556
6346,481,556
6353,483,556
6361,485,556
6366,487,556
6373,489,556
6380,491,556
6386,494,556
6393,497,556
6401,498,556
6406,499,556
6413,501,555
6420,501,555
6426,502,555
6433,502,555
6440,504,555
6447,505,555
6452,505,555
6460,504,555
6466,505,554
6473,505,554
6479,504,554
6487,504,554
6493,504,554
6500,507,554
6506,510,554
6513,512,554
6520,514,554
6526,517,554
6533,522,554
6540,530,553
6546,531,553
6553,523,553
6560,515,553
6566,508,553
6574,499,553
6580,495,553
6586,494,553
6593,493,553
6600,494,553
6606,495,553
6614,496,553
6620,496,552
6626,497,552
6632,499,552
6640,500,552
6646,501,552
6653,500,552
6659,494,552
6666,479,552
6673,473,552
6680,521,552
6686,589,552
6693,671,552
6701,744,552
6706,747,552
6713,640,552
6720,501,552
6726,431,552
6733,414,552
6740,432,552
6746,454,551
6753,470,551
6760,477,551
6766,480,551
6773,482,551
6780,486,551
6787,489,551
6793,492,551
6800,495,551
6806,498,551
6812,500,551
6820,502,551
6827,503,551
6833,505,551
6839,507,551
6846,508,551
6853,511,550
6860,515,550
6866,517,550
6874,519,550
6880,522,550
6886,525,550
6893,528,550
6900,530,550
6906,532,550
6914,534,550
6920,534,550
6926,532,550
6933,530,550
6940,527,550
6946,523,550
6953,517,550
6960,511,550
6966,505,550
6973,499,550
6980,494,549
6986,490,549
6993,488,549
7001,487,549
7006,487,549
7013,486,549
7019,488,549
7026,489,549
7033,492,549
7041,494,549
7046,495,549
7053,497,549
7060,499,549
7066,501,549
7073,502,549
7080,504,549
7087,504,549
7093,505,548
7100,506,548
7106,507,548
7113,508,548
7120,507,548
7127,507,548
7133,508,548
7140,508,548
7146,510,548
7153,513,548
7160,513,548
7166,513,548
7173,515,548
7180,522,548
7186,528,548
7193,532,548
7199,526,548
7206,516,548
7214,508,548
7220,501,548
7226,496,548
7233,493,548
7240,491,548
7246,491,548
7254,492,547
7260,493,547
7266,494,547
7273,496,547
7280,497,547
7286,498,547
7293,499,547
7301,499,547
7306,495,547
7313,477,547
7320,467,547
7326,497,547
7333,578,547
7341,675,547
7346,741,547
7353,775,547
7360,676,547
7366,532,547
7373,429,547
7379,406,547
7386,420,547
7393,451,547
7400,465,547
7405,469,547
7413,473,547
7420,476,547
7427,478,547
7433,481,547
7440,486,547
7446,488,547
7453,492,547
7460,494,547
7467,497,546
7473,499,546
7480,501,546
7486,503,546
7493,504,546
7500,507,546
7506,510,546
7514,513,546
7520,516,546
7526,518,546
7533,520,546
7540,522,546
7546,524,546
7554,527,546
7560,528,546
7566,528,546
7573,528,546
7580,526,546
7585,525,546
7593,521,546
7600,514,546
7606,509,546
7613,503,546
7620,498,546
7626,494,546
7633,491,546
7641,489,546
7646,488,545
7653,488,546
7660,489,545
7666,489,545
7673,490,545
7681,492,545
7686,492,545
7693,494,545
7700,496,545
7706,498,545
7713,499,545
7720,501,545
7727,502,545
7733,504,545
7739,504,545
7746,505,545
7753,505,545
7760,505,545
7766,506,545
7773,506,545
7780,506,545
7786,508,545
7793,511,545
7800,515,545
7806,514,545
7813,516,544
7820,523,544
7826,529,544
7833,531,544
7840,526,544
7846,518,544
7854,508,544
7860,499,544
7866,494,544
7873,491,544
7880,490,544
7886,489,544
7894,490,544
7900,491,544
7906,493,544
7913,494,544
7919,495,544
7926,496,544
7933,497,544
7941,498,544
7946,495,544
7953,479,544
7960,462,544
7966,482,544
7973,557,544
7981,666,544
7986,741,543
7993,792,544
8000,709,543
8006,555,543
8013,438,543
8020,410,543
8026,422,543
8033,450,543
8040,462,543
8046,467,543
8053,470,543
8060,473,543
8067,476,543
8073,479,543
8080,482,543
8086,485,543
8093,489,543
8099,492,543
8107,495,543
8113,496,543
8120,498,542
8125,500,542
8133,503,542
8140,505,542
8146,509,542
8153,511,542
8160,514,542
8166,516,542
8173,519,542
8180,522,542
8186,524,542
8194,526,542
8200,526,542
8206,527,542
8213,527,541
8220,525,541
8226,524,541
8233,521,541
8240,516,541
8246,512,541
8253,506,541
8260,501,541
8266,497,541
8273,493,541
8280,491,541
8286,490,541
8293,489,541
8300,489,541
8305,490,541
8313,492,541
8321,494,541
8326,495,540
8333,496,540
8340,498,540
8346,499,540
8353,501,540
8360,502,540
8367,504,540
8373,505,540
8380,505,540
8386,505,540
8393,504,540
8400,504,540
8407,505,540
8413,506,540
8420,510,540
8426,514,540
8433,514,540
8440,514,540
8446,518,540
8453,524,540
8459,529,540
8466,531,539
8473,523,539
8480,513,539
8486,507,539
8494,499,539
8500,495,539
8506,493,539
8513,492,539
8520,493,539
8526,495,539
8534,495,539
8540,496,539
8546,497,539
8553,499,539
8560,500,539
8566,501,539
8573,501,539
8581,488,539
8586,471,539
8593,463,539
8600,508,539
8606,599,539
8613,702,539
8621,782,539
8626,786,539
8633,646,539
8639,504,539
8646,426,539
8653,412,538
8660,440,538
8666,455,538
8673,465,538
8680,469,538
